link,id,lat,lon
277221,59941,-91.688,41.688
173957,59941,-91.688,41.688
166565,59941,-91.688,41.688
159173,60166,-91.563,41.688
159173,59941,-91.688,41.688
319559,60166,-91.563,41.688
393478,59941,-91.688,41.688
388998,59941,-91.688,41.688
386310,59941,-91.688,41.688
383398,59716,-91.813,41.688
382054,59716,-91.813,41.688
377350,59716,-91.813,41.688
376454,59716,-91.813,41.688
375334,59941,-91.688,41.688
374662,59941,-91.688,41.688
372870,59716,-91.813,41.688
372646,59716,-91.813,41.688
363462,59941,-91.688,41.688
361222,59716,-91.813,41.688
361222,59715,-91.813,41.813
359206,59715,-91.813,41.813
357190,59941,-91.688,41.688
351590,59716,-91.813,41.688
351590,59715,-91.813,41.813
346662,59715,-91.813,41.813
346438,59715,-91.813,41.813
343078,59715,-91.813,41.813
340614,59941,-91.688,41.688
9991,59941,-91.688,41.688
2375,59941,-91.688,41.688
294245,59941,-91.688,41.688
214053,59715,-91.813,41.813
239141,59715,-91.813,41.813
339046,59491,-91.938,41.688
338822,59491,-91.938,41.688
338374,59491,-91.938,41.688
338374,59490,-91.938,41.813
338150,59490,-91.938,41.813
337702,59490,-91.938,41.813
337478,59490,-91.938,41.813
337254,59490,-91.938,41.813
337030,59490,-91.938,41.813
335910,59490,-91.938,41.813
332550,59490,-91.938,41.813
332326,59716,-91.813,41.688
330982,59716,-91.813,41.688
328518,59716,-91.813,41.688
327174,59490,-91.938,41.813
324038,59941,-91.688,41.688
323366,59716,-91.813,41.688
320678,59490,-91.938,41.813
318662,59941,-91.688,41.688
316646,59491,-91.938,41.688
316646,59490,-91.938,41.813
315974,59716,-91.813,41.688
314854,59941,-91.688,41.688
312166,59490,-91.938,41.813
310822,59716,-91.813,41.688
310598,59941,-91.688,41.688
310374,59941,-91.688,41.688
309702,59716,-91.813,41.688
309030,59716,-91.813,41.688
300742,59490,-91.938,41.813
298054,59941,-91.688,41.688
296038,59941,-91.688,41.688
291334,59716,-91.813,41.688
290214,59716,-91.813,41.688
290214,59491,-91.938,41.688
290214,59490,-91.938,41.813
289094,59941,-91.688,41.688
288646,59716,-91.813,41.688
287302,59490,-91.938,41.813
283718,59491,-91.938,41.688
282822,59490,-91.938,41.813
279014,59490,-91.938,41.813
277894,59941,-91.688,41.688
276774,59941,-91.688,41.688
275654,59941,-91.688,41.688
273638,59716,-91.813,41.688
272966,59716,-91.813,41.688
271174,59716,-91.813,41.688
268262,59716,-91.813,41.688
265350,59716,-91.813,41.688
264678,59941,-91.688,41.688
264454,59941,-91.688,41.688
264230,59490,-91.938,41.813
257958,59941,-91.688,41.688
255942,59490,-91.938,41.813
255270,59716,-91.813,41.688
250342,60166,-91.563,41.688
248102,59941,-91.688,41.688
247206,59941,-91.688,41.688
235334,59941,-91.688,41.688
231974,59491,-91.938,41.688
229062,59716,-91.813,41.688
227046,59716,-91.813,41.688
226822,59491,-91.938,41.688
225254,59491,-91.938,41.688
222118,59491,-91.938,41.688
214502,59941,-91.688,41.688
212486,59941,-91.688,41.688
212262,59716,-91.813,41.688
208006,59941,-91.688,41.688
204870,59491,-91.938,41.688
204870,59490,-91.938,41.813
202630,59941,-91.688,41.688
201734,59716,-91.813,41.688
201734,59491,-91.938,41.688
199494,59941,-91.688,41.688
193446,59491,-91.938,41.688
192326,60166,-91.563,41.688
192102,59941,-91.688,41.688
190982,59491,-91.938,41.688
189414,59941,-91.688,41.688
188070,59941,-91.688,41.688
185830,59941,-91.688,41.688
184934,59941,-91.688,41.688
182918,59491,-91.938,41.688
180678,60166,-91.563,41.688
178214,59941,-91.688,41.688
177990,59716,-91.813,41.688
176646,59941,-91.688,41.688
166342,59941,-91.688,41.688
163878,59716,-91.813,41.688
162982,59941,-91.688,41.688
162534,59490,-91.938,41.813
156710,59716,-91.813,41.688
154918,59941,-91.688,41.688
154694,59716,-91.813,41.688
153350,59716,-91.813,41.688
152006,59716,-91.813,41.688
149990,59491,-91.938,41.688
142598,59716,-91.813,41.688
140358,59491,-91.938,41.688
139014,59491,-91.938,41.688
139014,59490,-91.938,41.813
138790,59490,-91.938,41.813
131398,59716,-91.813,41.688
131174,59490,-91.938,41.813
129606,59941,-91.688,41.688
129382,59941,-91.688,41.688
128262,59716,-91.813,41.688
126918,59490,-91.938,41.813
123782,59716,-91.813,41.688
122214,59941,-91.688,41.688
113254,59490,-91.938,41.813
111462,59716,-91.813,41.688
110566,59716,-91.813,41.688
107206,59716,-91.813,41.688
106310,59490,-91.938,41.813
103846,59490,-91.938,41.813
102502,59941,-91.688,41.688
102278,59490,-91.938,41.813
100038,59716,-91.813,41.688
99814,59490,-91.938,41.813
98246,59941,-91.688,41.688
97798,59941,-91.688,41.688
96006,59716,-91.813,41.688
92870,59490,-91.938,41.813
90406,59941,-91.688,41.688
89286,59490,-91.938,41.813
87942,59941,-91.688,41.688
87718,59490,-91.938,41.813
87046,59490,-91.938,41.813
85926,59716,-91.813,41.688
85926,59941,-91.688,41.688
85702,59716,-91.813,41.688
85478,59716,-91.813,41.688
85478,59715,-91.813,41.813
84134,59715,-91.813,41.813
82790,59941,-91.688,41.688
81894,59716,-91.813,41.688
74726,59941,-91.688,41.688
74502,59490,-91.938,41.813
73158,59716,-91.813,41.688
71142,59716,-91.813,41.688
68678,59716,-91.813,41.688
67334,59490,-91.938,41.813
65542,59716,-91.813,41.688
59270,59490,-91.938,41.813
50982,59716,-91.813,41.688
50982,59715,-91.813,41.813
48742,59715,-91.813,41.813
47398,59941,-91.688,41.688
41798,59490,-91.938,41.813
40230,59941,-91.688,41.688
34854,59941,-91.688,41.688
32166,59490,-91.938,41.813
27910,59941,-91.688,41.688
26118,59941,-91.688,41.688
22982,59941,-91.688,41.688
22758,59490,-91.938,41.813
8870,59715,-91.813,41.813
8198,59941,-91.688,41.688
7974,59715,-91.813,41.813
7302,59490,-91.938,41.813
5958,59715,-91.813,41.813
3494,59716,-91.813,41.688
3494,59715,-91.813,41.813
1478,59715,-91.813,41.813
454407,59941,-91.688,41.688
453511,59941,-91.688,41.688
452839,59941,-91.688,41.688
452391,59941,-91.688,41.688
